playerId,name,fullName,nationality,role,battingHand,playerJsonBowlingType,playerJsonBowlingHand,playerJsonBowlingStyle,metadataFoundForSameId,metadataName,metadataCountry,metadataBowlingType,metadataBowlingHand,metadataBowlingStyle,hasCricsheetRegisterMatch,cricsheetId
926629,Hasan Mahmud,Hasan Mahmud,Bangladesh,bowler,right,pace,right,Right-arm fast-medium,yes,Hasan Mahmud,Bangladesh,pace,right,Right-arm fast-medium,yes,80ad39ac
990161,Hasan Murad,Hasan Murad,Bangladesh,bowler,right,spin,left,Slow left-arm orthodox,yes,Hasan Murad,Bangladesh,spin,left,Slow left-arm orthodox,yes,da9f58aa
824541,Jaker Ali,Jaker Ali Anik,Bangladesh,wicketkeeper-batsman,right,,,,yes,Jaker Ali,Bangladesh,,,,yes,cd56a813
375724,Kamrul Islam,Kamrul Islam Rabbi,Bangladesh,bowler,right,pace,right,Right-arm medium-fast,yes,Kamrul Islam,Bangladesh,pace,right,Right-arm medium-fast,yes,f7e9a562
927619,Khaled Ahmed,Syed Khaled Ahmed,Bangladesh,bowler,right,pace,right,Right-arm medium-fast,yes,Khaled Ahmed,Bangladesh,pace,right,Right-arm medium-fast,yes,5dbdecf1
536936,Litton Das,Litton Kumar Das,Bangladesh,wicketkeeper-batsman,right,spin,right,Off Break,no,,,,,,yes,0404d43c
833087,Mahedi Hasan,Mahedi Hasan,Bangladesh,all-rounder,right,spin,right,Off Break,yes,Mahedi Hasan,Bangladesh,spin,right,Right-arm offbreak,yes,9dad0f2e
995037,Mahidul Ankon,Mahidul Islam Bhuiyan Ankon,Bangladesh,batsman,right,,,,yes,Mahidul Islam Ankon,Bangladesh,,,,yes,dac6aabc
1161381,Mahmudul Hasan,Mahmudul Hasan Joy,Bangladesh,batsman,right,,,,yes,Mahmudul Hasan Joy,Bangladesh,,,,yes,4b51bd51
629063,Mehidy Hasan Miraz,Mehidy Hasan Miraz,Bangladesh,all-rounder,right,spin,right,Off Break,no,,,,,,yes,c58b0108
269237,Mohammad Mithun,Mohammad Mithun,Bangladesh,batsman,right,,,,yes,Mohammad Mithun,Bangladesh,,,,yes,77191792
990081,Mohammad Naim,Mohammad Naim Sheikh,Bangladesh,batsman,left,,,,yes,Mohammad Naim,Bangladesh,,,,yes,7923a51d
629070,Mohammad Saifuddin,Mohammad Saifuddin,Bangladesh,all-rounder,left,pace,right,Right-arm medium-fast,yes,Mohammad Saifuddin,Bangladesh,pace,right,Right-arm medium-fast,yes,b3a28446
373696,Mominul Haque,Mominul Haque,Bangladesh,batsman,left,spin,left,Slow left-arm orthodox,yes,Mominul Haque,Bangladesh,spin,left,Slow left-arm orthodox,yes,de0a3209
550133,Mosaddek Hossain,Mosaddek Hossain Saikat,Bangladesh,all-rounder,right,spin,right,Off Break,yes,Mosaddek Hossain,Bangladesh,spin,right,Right-arm offbreak,yes,8919756f
1012137,Mrittunjoy Chowdhury,Mohammad Mrittunjoy Chowdhury Nipun,Bangladesh,bowler,left,pace,left,Left-arm medium-fast,yes,Mrittunjoy Chowdhury,Bangladesh,pace,left,Left-arm medium-fast,yes,21b97584
549950,Munim Shahriar,Munim Shahriar Jummon,Bangladesh,batsman,right,pace,right,Right-arm medium-fast,yes,Munim Shahriar,Bangladesh,pace,right,Right-arm medium-fast,yes,dd98b22f
56029,Mushfiqur Rahim,Mohammad Mushfiqur Rahim,Bangladesh,wicketkeeper-batsman,right,,,,yes,Mushfiqur Rahim,Bangladesh,,,,yes,a94e08ea
330902,Mustafizur Rahman,Mustafizur Rahman,Bangladesh,bowler,left,pace,left,Left-arm fast-medium,yes,Mustafizur Rahman,Bangladesh,pace,left,Left-arm fast-medium,yes,0a8fce53
