format,playerId,name,fullName,nationality,role,battingHand,hasCricsheetId,bowlingTypeFaced,runs,balls,outs,average,strikeRate,fours,sixes,boundaryRuns,boundaryRunPercent,dotBalls,dotBallPercent,deliveriesSeen,metadataBowlerDeliveries,playerJsonBowlerDeliveries,dismissalKinds
test,325026,Glenn Maxwell,Glenn James Maxwell,Australia,all-rounder,right,yes,pace,57,108,0,,52.78,8,0,32,56.14,79,73.15,110,110,0,
test,325026,Glenn Maxwell,Glenn James Maxwell,Australia,all-rounder,right,yes,spin,252,422,13,19.38,59.72,22,7,130,51.59,292,69.19,422,388,34,bowled:4; caught:5; lbw:3; stumped:1
test,499660,Gurinder Sandhu,Gurinder Singh Sandhu,Australia,bowler,left,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,499660,Gurinder Sandhu,Gurinder Singh Sandhu,Australia,bowler,left,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,1088610,Jack Edwards,Jack Richard Edwards,Australia,all-rounder,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1088610,Jack Edwards,Jack Richard Edwards,Australia,all-rounder,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,570854,Jack Wildermuth,Jack David Wildermuth,Australia,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,570854,Jack Wildermuth,Jack David Wildermuth,Australia,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,1168049,Jake Fraser-McGurk,Jake Matthew Fraser-McGurk,Australia,batsman,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,1168049,Jake Fraser-McGurk,Jake Matthew Fraser-McGurk,Australia,batsman,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,781285,Jake Weatherald,Jake Beath Weatherald,Australia,batsman,left,yes,pace,184,268,9,20.44,68.66,28,1,118,64.13,186,69.4,273,273,0,bowled:1; caught:4; lbw:4
test,781285,Jake Weatherald,Jake Beath Weatherald,Australia,batsman,left,yes,spin,17,16,0,,106.25,3,0,12,70.59,8,50.0,16,16,0,
test,533043,James Muirhead,James Matthew Muirhead,Australia,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,533043,James Muirhead,James Matthew Muirhead,Australia,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,272477,Jason Behrendorff,Jason Paul Behrendorff,Australia,bowler,right,yes,pace,0,0,0,,,0,0,0,,0,,0,0,0,
test,272477,Jason Behrendorff,Jason Paul Behrendorff,Australia,bowler,right,yes,spin,0,0,0,,,0,0,0,,0,,0,0,0,
test,774223,Jhye Richardson,Jhye Avon Richardson,Australia,bowler,right,yes,pace,17,19,2,8.5,89.47,1,1,10,58.82,14,73.68,19,19,0,caught:2
test,774223,Jhye Richardson,Jhye Avon Richardson,Australia,bowler,right,yes,spin,8,6,2,4.0,133.33,0,1,6,75.0,3,50.0,6,6,0,caught:2
test,288284,Josh Hazlewood,Josh Reginald Hazlewood,Australia,bowler,left,yes,pace,347,708,27,12.85,49.01,53,0,212,61.1,557,78.67,719,677,42,bowled:7; caught:20
test,288284,Josh Hazlewood,Josh Reginald Hazlewood,Australia,bowler,left,yes,spin,192,534,20,9.6,35.96,23,2,104,54.17,440,82.4,534,519,15,bowled:5; caught:9; caught and bowled:1; lbw:4; stumped:1
